insee,commune_name,total_tiles,total_population,total_households,avg_income_person,mean_poverty_rate,avg_income_person_popweighted,mean_poverty_rate_hhweighted
25085,Bouverans,2,142.0,47.79999999999999,30472.65,4.04,29349.407323943662,2.723514644351465
71126,Chevagny-les-Chevrières,1,404.5,157.1,29348.99,4.46,29348.99,4.46
51302,Les Istres-et-Bury,1,34.0,15.799999999999999,29347.18,0.0,29347.18,0.0
28193,Havelu,1,131.5,56.0,29345.02,7.14,29345.02,7.14
39446,Pupillin,1,10.0,4.0,29339.62,5.0,29339.620000000003,5.0
56003,Arradon,12,4125.5,1913.1000000000001,29734.335000000003,6.045833333333333,29336.827872985094,6.03295436725733
31512,Saint-Pierre-de-Lages,2,418.5,146.4,28190.8,13.44,29330.86129032258,6.6221038251366116
51504,Saint-Martin-sur-le-Pré,1,9.0,4.0,29329.06,0.0,29329.060000000005,0.0
13033,Ensuès-la-Redonne,15,5757.0,2342.5,29887.079333333335,6.4479999999999995,29327.058401945458,7.927236712913554
58018,Authiou,1,9.0,5.0,29325.36,10.0,29325.36,10.0
78380,Maule,3,3565.0,1442.9,30695.89333333333,7.236666666666667,29321.04435904628,9.07854598378266
21418,Moitron,1,2.0,0.9,29320.8,11.11,29320.8,11.110000000000001
57345,Inglange,1,286.5,116.89999999999999,29319.92,5.99,29319.920000000002,5.99
02793,Vézaponin,1,24.0,11.7,29319.35,6.84,29319.349999999995,6.84
44135,Le Pouliguen,5,1504.0,758.2,29531.368,8.458,29316.050551861703,8.203637562648376
39083,Censeau,1,5.0,1.7,29315.8,11.76,29315.8,11.760000000000002
95287,Grisy-les-Plâtres,1,260.5,105.0,29314.97,4.76,29314.97,4.76
74033,Bernex,5,895.5,388.1,30398.654,3.9560000000000004,29308.92820212172,6.929750064416387
77047,Bouleurs,2,847.0,312.0,29260.684999999998,2.29,29304.16838252656,1.9233333333333331
57297,Harprich,1,20.0,10.6,29304.14,5.66,29304.140000000003,5.66
57565,Rédange,3,715.0,308.5,30663.036666666667,14.216666666666667,29302.955335664337,13.159124797406808
57102,Bousse,2,1919.0,774.0,30347.34,5.01,29296.84956227202,5.426744186046512
